SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
FRAT2,2.37723,3.35726,2.90842,1.71128,3.20966,3.59911,3.46038,3.95012
FREM1,5.63635,2.10263,6.7967,6.26455,4.05435,1.11125,5.66972,3.04189
FREM2,1.42553,0.558741,0.559033,2.99951,0.504415,0.347341,0.910103,0.418434
FREM3,0.0490304,0.223095,1.50499,0.211671,0.738496,2.73545,0.147819,0.719197
FRG1,29.0522,31.607,21.343,14.9834,29.9021,18.3745,32.2755,37.94
FRG1B,20.4417,19.2914,0.681855,17.1322,21.2855,8.21393,21.3628,21.0843
FRG2,0,0.00686376,0.0245308,2.69E-26,0,0.0342197,0,0.0100777
FRG2B,0,0,0,0.0758465,0,0,0,0
FRG2C,0.0307368,0.0147404,4.25E-11,0.0320371,0,0.0169609,0.00941453,0.0109632
FRK,0.0518089,0,0,0.0223667,0.0144266,0,0.012727,0.0098347
FRMD3,1.70001,0.646149,4.24495,1.21949,4.25895,1.20125,3.30027,3.03678
FRMD4A,22.1015,14.8546,23.3296,19.2788,24.8275,19.6943,26.8161,22.5956
FRMD4B,7.58079,5.87627,5.72894,3.92437,5.78122,5.55514,6.94724,7.72775
FRMD5,3.29032,5.2826,7.45176,2.94039,6.32187,5.80575,5.85193,6.10848
FRMD6,3.38448,1.19181,2.1211,7.13676,2.30757,1.61246,1.58862,1.48452
FRMD6-AS1,0.212093,0.0765548,0.0913423,0.128762,0.0922796,0.145071,0.130254,0.0754892
FRMD6-AS2,0,0,0.0616778,0.173889,0,0,0,0
FRMD7,0.00921947,0.106488,0.0423526,0.0298513,0.0256723,0.0232839,0.0226479,0.00875049
FRMD8,5.89584,0.937828,3.59424,4.51773,3.78858,1.52741,3.38218,3.18644
FRMD8P1,0.0177279,0.0166101,0,0,0,0.0145044,0,0.0166159
FRMPD1,0.342287,0.0173401,0.468962,0.298133,0.409676,0.146603,0.354038,0.159588
FRMPD2,0.240914,0.124007,0.242937,0.140789,0.420636,0.108391,0.505862,0.0996377
FRMPD2P1,3.29E-10,0.0180144,7.61E-29,0.0220929,0.160095,0.0777048,0.166644,0.133753
FRMPD4,0.456848,0.322245,0.596761,0.33875,0.786582,0.534319,0.50973,0.486569
FRRS1,2.34311,0.559684,0.964645,2.52069,0.994534,0.237214,0.795876,0.576223
